id	hisat_out.SRR941816.fastq.bam	hisat_out.SRR941817.fastq.bam	hisat_out.SRR941818.fastq.bam	hisat_out.SRR941819.fastq.bam
YKL180W	740.962284419583	1771.14730027861	9351.03076898091	9806.18742266826
YKL179C	514.164564302054	500.599948851845	209.992524924376	251.242822214218
YKL178C	23.5546593593873	16.0964613778728	19.0902295385796	6.00238824402569
YKL176C	572.714717566817	427.092775226226	763.609181543184	669.695031226295
YKL175W	485.225982803378	320.31958141967	757.245771696991	585.661595809935
YKL174C	585.501532647627	305.296217466988	299.08026277108	299.261928166424
YKL173W	448.211518095769	273.639843423838	426.348459694944	340.421161839743
YKL172W	253.044340546561	335.342945372351	3824.40931756211	3355.33502841036
YKL171W	1181.09791930642	532.256322894995	139.99501661625	100.325632078715
YKL170W	197.186148351442	346.073919624266	82.7243280005116	103.755568218158
YKL168C	497.339807616777	292.41904836469	82.7243280005116	108.042988392462
YKL167C	228.143700652351	303.686571329201	190.902295385796	201.508748192291
YKL166C	31.6305425683201	37.5584098817033	483.619148310683	463.8988628597
YKL165C	167.574576585355	138.429567849706	101.814557539091	64.311302614561
YNCK0005C	0.672990267411065	0	6.3634098461932	4.28742017430407
YKL164C	4248.58755816605	4597.68591823308	1434.94892031657	1229.63210599041
