	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YNL113W	YNL113W	1030.984848842	4.60331120740155	0.416304740069741	11.0575517507449	2.01523228890212e-28	1.55305467317101e-26
YKR081C	YKR081C	1338.8766610927	4.54201385078393	0.410960408968189	11.0521932324033	2.1392371625977e-28	1.6272093586149e-26
YHR052W	YHR052W	1668.49887529732	4.50852030339864	0.408378866264984	11.0400431458008	2.44915532970517e-28	1.83906445719015e-26
YDR342C	YDR342C	2153.2012354727	-4.50525056715855	0.409656465102736	-10.9976308222762	3.92303590298333e-28	2.90850902326245e-26
YHR022C	YHR022C	392.674015991832	6.19174482831271	0.565038496034163	10.9580937790447	6.07658057704329e-28	4.44881655496782e-26
YHR208W	YHR208W	5099.43894231265	4.82423174098152	0.440335571808797	10.9558074564921	6.23200792643566e-28	4.50628029939921e-26
YPL030W	YPL030W	463.29196591714	5.04700160758627	0.462800586209299	10.9053483465205	1.08676221003173e-27	7.76239788311688e-26
YOR108W	YOR108W	894.90009758444	5.26089269220784	0.484077379320615	10.8678755028614	1.63974618139019e-27	1.1557161350203e-25
YLR022C	YLR022C	659.148078388225	4.57512634795634	0.421015151829459	10.8668923863567	1.65750649379726e-27	1.1557161350203e-25
YPL093W	YPL093W	3492.72451391508	4.59418771179075	0.423724007176426	10.8424059859272	2.16695884618922e-27	1.4931621131918e-25
YLL011W	YLL011W	916.578689095343	4.54094206593433	0.420499462309947	10.7989247857521	3.48257764687963e-27	2.3717973578807e-25
YLR186W	YLR186W	1342.45315003894	5.31555009514331	0.492639378887256	10.7899415331957	3.84033785623164e-27	2.58538607171824e-25
YAL012W	YAL012W	1374.35413430919	4.7476653247039	0.442997456298509	10.7171390201048	8.45791674863797e-27	5.62932027236052e-25
YLL034C	YLL034C	583.90939859764	4.57193517436003	0.426734852226344	10.7137608997894	8.77240470818221e-27	5.77303082874418e-25
YOR233W	YOR233W	298.385929321593	5.19544699604215	0.486047081343516	10.6891846396466	1.14372001750275e-26	7.44307571390404e-25
YNL124W	YNL124W	793.030717948108	5.08616221846896	0.477008684437444	10.6626197476201	1.52247416855273e-26	9.79904528045419e-25
YKL023C-A	YKL023C-A	403.863689262346	4.66352610045852	0.437572729694258	10.6577164982768	1.60489513156007e-26	1.01073879414487e-24
YGR264C	YGR264C	1302.56329909107	4.4085362520077	0.413624889839161	10.6582953789893	1.59493870231926e-26	1.01073879414487e-24
YOR375C	YOR375C	6566.94680939762	4.65887438230996	0.437694925174367	10.6441133180925	1.85744210804757e-26	1.15734451349304e-24
YDR101C	YDR101C	1447.87904889989	4.59514152894016	0.431994746923603	10.6370310325852	2.00413836200601e-26	1.23560404065992e-24
YCR021C	YCR021C	60732.2932574776	-4.44895769044515	0.41841417969966	-10.6329037262519	2.09486581820232e-26	1.27808636429281e-24
YNL117W	YNL117W	7957.80049054256	-4.7898856210551	0.451444958826742	-10.6101209624834	2.67402661481041e-26	1.61461586422109e-24
YOR145C	YOR145C	2259.86659177236	4.18988150523433	0.395933710313249	10.582280306265	3.6008617326078e-26	2.15206603753917e-24
YAL025C	YAL025C	1354.7605267328	4.50169379489178	0.425526016243791	10.5791270640258	3.72411643925462e-26	2.20324747320347e-24
YCL054W	YCL054W	964.432607780639	4.40264694088527	0.416223522488646	10.5776024251617	3.78520282629543e-26	2.21699329536123e-24
YKR024C	YKR024C	642.40694252624	4.83759568742146	0.45850820512645	10.5507287183385	5.04046301782363e-26	2.92296949459336e-24
YNR001C	YNR001C	5098.99209093428	-4.34519028151982	0.412044937834595	-10.5454281378991	5.3329403628981e-26	3.06225801034257e-24
YPR060C	YPR060C	422.799923454727	5.11300667465922	0.485749720072087	10.5260105428376	6.55542075068957e-26	3.72767954726105e-24
YCL036W	YCL036W	482.703553208414	4.82311031038987	0.460396998506698	10.4759812206285	1.11376529872495e-25	6.27242630253077e-24
YER056C	YER056C	4205.01310642124	4.25019063424949	0.405890629522957	10.4712706456041	1.17061019041298e-25	6.52977512880839e-24
YGR187C	YGR187C	803.700883755143	4.55045461036802	0.43555134623018	10.4475732878649	1.50322351229167e-25	8.30601897310595e-24
